Date,Returns
2020-09-17,0.044210215953104946
2020-09-18,0.016374458983153907
2020-09-21,-0.05598668919532945
2020-09-22,-0.103410650960898
2020-09-23,0.07093262380171647
2020-09-25,0.03402552051440091
2020-09-28,-0.005056906089246503
2020-09-29,0.023719058371070127
2020-09-30,0.044637627745233
2020-10-01,-0.07379050988532888
2020-10-02,0.025512510562632745
2020-10-05,-0.027485353585060365
2020-10-06,0.027344260815368206
2020-10-07,0.001457800782115656
2020-10-08,0.018970757455741737
2020-10-09,0.0191244348224382
2020-10-12,0.009834875593858912
2020-10-13,0.03279957445119706
2020-10-14,-0.026923832240650016
2020-10-15,-0.020517628756168246
2020-10-16,-0.020105994980485997
2020-10-19,-0.020634487979313738
2020-10-20,0.0016590400879291697
2020-10-21,0.007453040895894895
